Restaurant,Similar_Restaurant,Item_CF_Score
10 Downing Street,Hunger Maggi Point,0.23230111434813255
10 Downing Street,Gal Punjab Di,0.1724118337239562
10 Downing Street,Collage - Hyatt Hyderabad Gachibowli,0.13637560028681645
10 Downing Street,Faasos,0.09668923092450453
10 Downing Street,The Glass Onion,0.07567627853778185
13 Dhaba,Delhi-39,0.15337100500385112
13 Dhaba,Olive Garden,0.09499637573028039
13 Dhaba,The Lal Street - Bar Exchange,0.08343902286380178
13 Dhaba,Dine O China,0.07627795038254398
13 Dhaba,Mazzo - Marriott Executive Apartments,0.06668064522603623
"3B's - Buddies, Bar & Barbecue",Al Saba Restaurant,0.05175765688673985
"3B's - Buddies, Bar & Barbecue",Behrouz Biryani,0.03961033017576204
"3B's - Buddies, Bar & Barbecue",The Chocolate Room,0.030893858740439463
"3B's - Buddies, Bar & Barbecue",Diners Pavilion,0.02503378881538437
"3B's - Buddies, Bar & Barbecue",Mustang Terrace Lounge,0.01861993988678931
AB's - Absolute Barbecues,The Glass Onion,0.0418359516534407
AB's - Absolute Barbecues,Prism Club & Kitchen,0.028273485962995858
AB's - Absolute Barbecues,Tiki Shack,0.026921599038276144
AB's - Absolute Barbecues,Yum Yum Tree - The Arabian Food Court,0.026050587572863413
AB's - Absolute Barbecues,Owm Nom Nom,0.022795577017856398
Absolute Sizzlers,Ulavacharu,0.07843072973789436
Absolute Sizzlers,KS Bakers,0.05644956658747156
Absolute Sizzlers,Deli 9 Bistro,0.03897381158366396
Absolute Sizzlers,Kritunga Restaurant,0.035970924003945394
Absolute Sizzlers,Mathura Vilas,0.02856384640750126
Al Saba Restaurant,Banana Leaf Multicuisine Restaurant,0.17082450692324572
Al Saba Restaurant,Urban Asia - Kitchen & Bar,0.06852917390985615
Al Saba Restaurant,Green Bawarchi Restaurant,0.05433850578678491
Al Saba Restaurant,"3B's - Buddies, Bar & Barbecue",0.05175765688673985
Al Saba Restaurant,Driven Cafe,0.04630790318083529
American Wild Wings,Arena Eleven,0.28712376308494664
American Wild Wings,Hyper Local,0.14417489607091438
American Wild Wings,Zega - Sheraton Hyderabad Hotel,0.10859925533704748
American Wild Wings,Prism Club & Kitchen,0.09088364376413081
American Wild Wings,Biryanis And More,0.07299048832449533
Amul,Hitech Bawarchi Food Zone,0.1497319536572607
Amul,Tandoori Food Works,0.14279797162757252
Amul,Olive Garden,0.1081081524960692
Amul,Pista House,0.10772857998143438
Amul,Barbeque Nation,0.09689198125060987
Arena Eleven,American Wild Wings,0.28712376308494664
Arena Eleven,Zega - Sheraton Hyderabad Hotel,0.13927840155017496
Arena Eleven,Hyderabadi Daawat,0.11908727608467375
Arena Eleven,Prism Club & Kitchen,0.11514795380222617
Arena Eleven,Shah Ghouse Hotel & Restaurant,0.09194383211021917
Aromas@11SIX,Shah Ghouse Spl Shawarma,0.1526241736717768
Aromas@11SIX,Pakwaan Grand,0.07530086957533941
Aromas@11SIX,Tempteys,0.042118269525638144
Aromas@11SIX,Mathura Vilas,0.037447937507463704
Aromas@11SIX,Being Hungry,0.034654618766408234
Asian Meal Box,eat.fit,0.11310359390368348
Asian Meal Box,Sardarji's Chaats & More,0.08207878587585152
Asian Meal Box,KS Bakers,0.06912354385894413
Asian Meal Box,The Chocolate Room,0.06626396102579313
Asian Meal Box,GD's,0.051889057545232216
B-Dubs,Mustang Terrace Lounge,0.11794392301826764
B-Dubs,La La Land - Bar & Kitchen,0.03736001246635822
B-Dubs,10 Downing Street,0.02969461106581872
B-Dubs,SKYHY,0.02861052242095372
B-Dubs,Shree Santosh Dhaba Family Restaurant,0.020604662950431143
Banana Leaf Multicuisine Restaurant,Al Saba Restaurant,0.17082450692324572
Banana Leaf Multicuisine Restaurant,Owm Nom Nom,0.0953056463735263
Banana Leaf Multicuisine Restaurant,Being Hungry,0.07882798094502129
Banana Leaf Multicuisine Restaurant,Urban Asia - Kitchen & Bar,0.07386730951912691
Banana Leaf Multicuisine Restaurant,Khaan Saab,0.0664482945075319
Barbeque Nation,Tempteys,0.1379888791679055
Barbeque Nation,Hitech Bawarchi Food Zone,0.11672772497178513
Barbeque Nation,Tandoori Food Works,0.11532468237934568
Barbeque Nation,Karachi Bakery,0.11111793314241634
Barbeque Nation,Amul,0.09689198125060987
Behrouz Biryani,Marsala Food Company,0.12966884510940627
Behrouz Biryani,PourHouse7,0.09574350060850548
Behrouz Biryani,T Grill,0.09233276239724433
Behrouz Biryani,Pot Pourri,0.059072316060826205
Behrouz Biryani,Kritunga Restaurant,0.059007925963953725
Being Hungry,Banana Leaf Multicuisine Restaurant,0.07882798094502129
Being Hungry,Hunger Maggi Point,0.07556482287717178
Being Hungry,Cream Stone,0.07427100996438625
Being Hungry,The Chocolate Room,0.0659642101860295
Being Hungry,Gal Punjab Di,0.06021034561408631
Beyond Flavours,Tempteys,0.21368794220922285
Beyond Flavours,Prism Club & Kitchen,0.21231416913950016
Beyond Flavours,Komatose - Holiday Inn Express & Suites,0.15823567074135345
Beyond Flavours,Momos Delight,0.05158630254322565
Beyond Flavours,The Indi Grill,0.05116607520837347
Biryanis And More,Hyderabadi Daawat,0.37439447152683947
Biryanis And More,Marsala Food Company,0.3108905341390299
Biryanis And More,American Wild Wings,0.07299048832449533
Biryanis And More,PourHouse7,0.06666159084058466
Biryanis And More,Domino's Pizza,0.0428098456252115
Cafe Eclat,The Glass Onion,0.14895404867097187
Cafe Eclat,Deli 9 Bistro,0.10490682293622428
Cafe Eclat,Zing's Northeast Kitchen,0.09801212788142113
Cafe Eclat,Domino's Pizza,0.0897870196884463
Cafe Eclat,Pista House,0.08501254940726176
Cascade - Radisson Hyderabad Hitec City,Owm Nom Nom,0.04493141813337846
Cascade - Radisson Hyderabad Hitec City,Olive Garden,0.042158572552896685
Cascade - Radisson Hyderabad Hitec City,American Wild Wings,0.04182047242107332
